,day,process,process_id,father,father_id,uid,ocurrences
4228,8,VBoxSVCWatcher,684,workload.sh,1281,0,1
4229,8,ps,2559,monitoramento-z,2558,0,2
4230,8,monitoramento-m,2540,monitoramento-m,1275,0,1
4231,8,pidof,2730,monitoramento-V,1279,0,1
4232,8,ps,2748,monitoramento-z,2747,0,1
4233,8,awk,2926,monitoramento-z,2924,0,1
4234,8,pidof,2911,monitoramento-V,1279,0,1
4235,8,grep,2922,monitoramento-n,2919,0,1
4236,8,ps,2925,monitoramento-z,2924,0,1
4237,8,ps,3100,monitoramento-z,3099,0,1
4238,8,monitoramento-c,3117,monitoramento-c,3115,0,1
4239,8,pidof,3460,monitoramento-V,1279,0,1
4240,8,ps,3471,monitoramento-z,3470,0,1
4241,8,VBoxManage,2718,workload.sh,1281,0,4
4242,8,ps,3659,monitoramento-z,3658,0,1
4243,8,monitoramento-m,3696,monitoramento-m,1275,0,1
4244,8,pidof,3800,monitoramento-V,1280,0,1
4245,8,ps,3985,monitoramento-d,3983,0,1
4246,8,pidof,4150,monitoramento-V,1278,0,1
4247,8,pidof,4491,monitoramento-V,1280,0,1
4248,8,free,4495,monitoramento-m,4493,0,1
4249,8,pidof,4836,monitoramento-V,1278,0,1
4250,8,pidof,4845,monitoramento-V,1280,0,2
4251,8,pidof,5018,monitoramento-V,1280,0,1
4252,8,ps,5028,monitoramento-z,5027,0,2
4253,8,ps,5232,monitoramento-d,5231,0,1
4254,8,pool,375,systemd,1,0,1
4255,8,pidof,5364,monitoramento-V,1278,0,1
4256,8,nspr-5,1215,systemd,1,0,2
4257,8,ps,5433,monitoramento-d,5432,0,1
4258,8,ps,5591,monitoramento-z,5589,0,1
4259,8,VBoxSVC,1215,systemd,1,0,1
4260,8,monitoramento-n,5730,monitoramento-n,5723,0,1
4261,8,apache2,9041,apache2,491,33,1
4262,8,pidof,5737,monitoramento-V,1280,0,1
4263,8,systemd,1,swapper,,0(0),0
4264,8,pidof,5909,monitoramento-V,1279,0,1
4265,8,grep,6035,monitoramento-V,6032,0,1
4266,8,ps,6129,monitoramento-d,6128,0,1
4267,8,monitoramento-z,6252,monitoramento-z,6250,0,1
4268,8,pidof,6446,monitoramento-V,1280,0,1
4269,8,monitoramento-d,1274,bash,1263,0,1
4270,8,ps,6521,monitoramento-d,6520,0,1
4271,8,VBoxManage,6080,workload.sh,1281,0,1
4272,8,pidof,6624,monitoramento-V,1278,0,1
4273,8,ps,6640,monitoramento-z,6639,0,1
4274,8,ps,6778,monitoramento-d,6777,0,1
4275,8,pidof,6811,monitoramento-V,1278,0,1
4276,8,awk,6817,monitoramento-n,6813,0,1
4277,8,pidof,6993,monitoramento-V,1280,0,1
4278,8,monitoramento-m,1275,bash,1263,0,1
4279,8,pidof,7146,monitoramento-V,1280,0,1
4280,8,ps,7162,monitoramento-z,7161,0,1
4281,8,ps,7198,monitoramento-d,7197,0,1
4282,8,pidof,7505,monitoramento-V,1278,0,1
4283,8,pidof,7687,monitoramento-V,1280,0,1
4284,8,ps,7802,monitoramento-z,7801,0,1
4285,8,ps,7793,monitoramento-d,7791,0,1
4286,8,grep,7823,monitoramento-m,7821,0,1
4287,8,mpstat,7863,monitoramento-c,7861,0,1
4288,8,grep,7991,monitoramento-V,7989,0,1
4289,8,pidof,8043,monitoramento-V,1278,0,1
